"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LUZP2",0,4.49242431264412,0.998,0.054,0,"eSPN","LUZP2"
"ADARB21",0,3.70368898919999,0.988,0.033,0,"eSPN","ADARB2"
"ZNF804B1",0,3.30897677751119,0.946,0.093,0,"eSPN","ZNF804B"
"FOXP2",0,3.27467930238848,1,0.633,0,"eSPN","FOXP2"
"KCNT22",0,3.18157222703028,0.973,0.058,0,"eSPN","KCNT2"
"SLC35F12",0,3.11439104634264,1,0.731,0,"eSPN","SLC35F1"
"TRHDE1",0,3.01841833210965,0.964,0.067,0,"eSPN","TRHDE"
"CNTN52",0,2.98632414789008,1,0.757,0,"eSPN","CNTN5"
"GALNTL62",0,2.96580130838482,1,0.881,0,"eSPN","GALNTL6"
"PTPRK1",0,2.50204783323714,0.966,0.199,0,"eSPN","PTPRK"
"CPNE41",0,2.50129919016357,0.945,0.139,0,"eSPN","CPNE4"
"NRXN11",0,2.3265340101691,1,0.996,0,"eSPN","NRXN1"
"GRIK12",0,2.23011326601191,0.561,0.064,0,"eSPN","GRIK1"
"FAM155A2",0,2.22747145730495,1,0.894,0,"eSPN","FAM155A"
"NRG12",0,2.22573492513924,1,0.951,0,"eSPN","NRG1"
"FHOD32",0,2.20224332498029,0.95,0.155,0,"eSPN","FHOD3"
"NTNG11",0,2.1231995086959,0.982,0.376,0,"eSPN","NTNG1"
"ALK2",0,2.1207541919356,0.816,0.181,0,"eSPN","ALK"
"SPECC12",0,1.98382534638045,1,0.755,0,"eSPN","SPECC1"
"TLL11",0,1.95312207205937,0.947,0.305,0,"eSPN","TLL1"
"GFRA11",0,1.8882651618534,0.909,0.278,0,"eSPN","GFRA1"
"CALCRL",0,1.88767999938326,0.765,0.131,0,"eSPN","CALCRL"
"SEMA6D2",0,1.86037427242137,0.996,0.935,0,"eSPN","SEMA6D"
"RXFP1",0,1.85574973582189,0.818,0.01,0,"eSPN","RXFP1"
"EPS81",0,1.84532906723742,0.878,0.069,0,"eSPN","EPS8"
"AL589740.11",0,1.81170779117565,1,0.982,0,"eSPN","AL589740.1"
"TSHZ1",0,1.80044863619706,0.957,0.351,0,"eSPN","TSHZ1"
"FRAS1",0,1.79535458816896,1,0.975,0,"eSPN","FRAS1"
"SORCS21",0,1.7852304151869,1,0.748,0,"eSPN","SORCS2"
"ARHGAP182",0,1.70747774345676,0.88,0.098,0,"eSPN","ARHGAP18"
"PRKCA1",0,1.70746776916566,0.994,0.712,0,"eSPN","PRKCA"
"FSTL51",0,1.69559827434478,0.996,0.685,0,"eSPN","FSTL5"
"AL356124.12",0,1.65637762295911,0.846,0.09,0,"eSPN","AL356124.1"
"ZNF804A1",0,1.64752991950706,0.999,0.957,0,"eSPN","ZNF804A"
"GABRG32",0,1.62469121109365,0.999,0.943,0,"eSPN","GABRG3"
"ESRRG1",0,1.62406076370445,0.992,0.936,0,"eSPN","ESRRG"
"PDE8B1",0,1.61251395180525,1,0.935,0,"eSPN","PDE8B"
"BACH22",0,1.60019703658944,0.967,0.301,0,"eSPN","BACH2"
"ERBB41",0,1.59308677761877,1,0.987,0,"eSPN","ERBB4"
"KCNIP12",0,1.56141123438447,0.994,0.484,0,"eSPN","KCNIP1"
"MAML32",0,1.55299801680998,0.998,0.743,0,"eSPN","MAML3"
"PBX31",0,1.52915700698274,1,0.962,0,"eSPN","PBX3"
"SPON12",0,1.47269853392558,0.969,0.581,0,"eSPN","SPON1"
"HCN12",0,1.46961894155086,0.984,0.365,0,"eSPN","HCN1"
"ILDR2",0,1.46491184142115,0.851,0.024,0,"eSPN","ILDR2"
"STAC",0,1.46285611300492,0.725,0.045,0,"eSPN","STAC"
"DCLK11",0,1.44284057661257,1,0.996,0,"eSPN","DCLK1"
"SOX2-OT1",0,1.43072133456033,1,0.961,0,"eSPN","SOX2-OT"
"NETO12",0,1.41467752506713,1,0.973,0,"eSPN","NETO1"
"AC068633.1",0,1.37315066864665,0.351,0.088,0,"eSPN","AC068633.1"
"BRINP33",0,1.37050019865531,0.936,0.494,0,"eSPN","BRINP3"
"OXR12",0,1.36704439164769,0.999,0.894,0,"eSPN","OXR1"
"MVB12B",0,1.35996636924458,1,0.945,0,"eSPN","MVB12B"
"TAC11",0,1.34807277922232,0.974,0.587,0,"eSPN","TAC1"
"XYLT11",0,1.34519749381084,0.943,0.461,0,"eSPN","XYLT1"
"SEMA5B1",0,1.34252154715283,0.853,0.189,0,"eSPN","SEMA5B"
"TRHDE-AS11",0,1.32544634361839,0.782,0.033,0,"eSPN","TRHDE-AS1"
"AC013287.11",0,1.32523171183887,0.99,0.839,0,"eSPN","AC013287.1"
"KCNH8",0,1.32178467817892,0.6,0.011,0,"eSPN","KCNH8"
"GRIN2A2",0,1.2987542804822,1,0.893,0,"eSPN","GRIN2A"
"NKAIN2",0,1.29651422497597,1,0.983,0,"eSPN","NKAIN2"
"OPRM12",0,1.29214688669022,0.932,0.369,0,"eSPN","OPRM1"
"TMEFF21",0,1.28044623614826,0.999,0.877,0,"eSPN","TMEFF2"
"AC022126.1",0,1.27748374645099,0.771,0.231,0,"eSPN","AC022126.1"
"TACR11",0,1.27041816439081,0.881,0.332,0,"eSPN","TACR1"
"HDAC91",0,1.26711210398872,0.945,0.389,0,"eSPN","HDAC9"
"FRK",0,1.26266297251141,0.803,0.297,0,"eSPN","FRK"
"C8orf34",0,1.25051228173674,0.99,0.893,0,"eSPN","C8orf34"
"TOX1",0,1.22995714057861,0.652,0.029,0,"eSPN","TOX"
"MTUS11",0,1.2163276242074,0.962,0.524,0,"eSPN","MTUS1"
"ATP2B41",0,1.20858452837707,0.813,0.102,0,"eSPN","ATP2B4"
"KCNJ31",0,1.20243460720289,0.814,0.08,0,"eSPN","KCNJ3"
"RIMBP22",0,1.17943512833752,0.996,0.787,0,"eSPN","RIMBP2"
"RUNX1T11",0,1.16289261992469,1,0.971,0,"eSPN","RUNX1T1"
"CDH111",0,1.15527248147523,0.998,0.966,0,"eSPN","CDH11"
"OLFM32",0,1.14662336849044,0.999,0.939,0,"eSPN","OLFM3"
"BMPER2",0,1.14505297268453,0.93,0.65,0,"eSPN","BMPER"
"ANKRD61",0,1.12356156841657,0.815,0.248,0,"eSPN","ANKRD6"
"TIAM11",0,1.1191904516566,1,0.967,0,"eSPN","TIAM1"
"PPM1E1",0,1.11407820087432,0.788,0.164,0,"eSPN","PPM1E"
"MAN2A11",0,1.10698980467426,0.993,0.883,0,"eSPN","MAN2A1"
"PCSK21",0,1.09812012317289,1,0.993,0,"eSPN","PCSK2"
"EPHA6",0,1.08805663787346,1,0.998,0,"eSPN","EPHA6"
