"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PTPRQ",0,1.53473658565464,0.654,0.193,0,"SPN_exotic","PTPRQ"
"AC011246.1",0,1.37768363190393,0.879,0.509,0,"SPN_exotic","AC011246.1"
"BACH2",0,1.34846140651547,0.871,0.225,0,"SPN_exotic","BACH2"
"GPC6",0,1.08767639399626,0.994,0.908,0,"SPN_exotic","GPC6"
"RELN",0,1.03721312202,0.921,0.651,0,"SPN_exotic","RELN"
"KCNIP1",0,0.961300805872582,0.859,0.438,0,"SPN_exotic","KCNIP1"
"CDH18",0,0.94292546478069,0.988,0.952,0,"SPN_exotic","CDH18"
"COL25A1",0,0.827956769773067,0.979,0.862,0,"SPN_exotic","COL25A1"
"FKBP5",0,0.752276406972913,0.736,0.336,0,"SPN_exotic","FKBP5"
"LRMDA",0,0.72571612026279,0.98,0.867,0,"SPN_exotic","LRMDA"
"SEMA6D",0,0.683221472583228,0.995,0.926,0,"SPN_exotic","SEMA6D"
"PHACTR1",0,0.617580925895779,1,0.997,0,"SPN_exotic","PHACTR1"
"RGS12",0,0.611690516451217,0.915,0.752,0,"SPN_exotic","RGS12"
"AL356295.1",0,0.560620113106405,0.467,0.193,0,"SPN_exotic","AL356295.1"
"NPAS3",0,0.55904824751862,0.999,0.981,0,"SPN_exotic","NPAS3"
"SORBS2",0,0.552269525645606,1,0.999,0,"SPN_exotic","SORBS2"
"PDE10A",0,0.544841262194256,1,0.99,0,"SPN_exotic","PDE10A"
"AC092691.1",0,0.541044835476764,1,0.997,0,"SPN_exotic","AC092691.1"
"KCNIP4",0,0.525800640936602,1,0.986,0,"SPN_exotic","KCNIP4"
"SORCS1",0,0.525152762101144,0.999,0.946,0,"SPN_exotic","SORCS1"
"KHDRBS3",0,0.523328163781371,0.728,0.39,0,"SPN_exotic","KHDRBS3"
"CACHD1",0,0.521084223348808,0.999,0.95,0,"SPN_exotic","CACHD1"
"LSAMP",0,0.51089768137245,1,1,0,"SPN_exotic","LSAMP"
"BRINP3",0,0.48990821033424,0.853,0.447,0,"SPN_exotic","BRINP3"
"LOXHD1",0,0.488948139312336,0.833,0.472,0,"SPN_exotic","LOXHD1"
"MGAT4C",0,0.48885064907439,0.88,0.686,0,"SPN_exotic","MGAT4C"
"MCTP2",0,0.484267663762332,0.736,0.438,0,"SPN_exotic","MCTP2"
"NECAB1",0,0.481476476391169,1,0.985,0,"SPN_exotic","NECAB1"
"PSD3",0,0.479926676067558,1,0.981,0,"SPN_exotic","PSD3"
"GALNTL6",0,0.47780705137285,0.993,0.866,0,"SPN_exotic","GALNTL6"
"SPON1",0,0.477519005920908,0.877,0.544,0,"SPN_exotic","SPON1"
"OPRM1",0,0.475836670615948,0.641,0.347,0,"SPN_exotic","OPRM1"
"AC073365.1",0,0.474053187888026,0.505,0.248,0,"SPN_exotic","AC073365.1"
"GPR149",0,0.47252025359993,0.998,0.93,0,"SPN_exotic","GPR149"
"CTNNA2",0,0.469085293922558,1,0.999,0,"SPN_exotic","CTNNA2"
"DGKI",0,0.468789864449179,1,1,0,"SPN_exotic","DGKI"
"NRG1",0,0.465412423832471,0.998,0.944,0,"SPN_exotic","NRG1"
"IQCJ-SCHIP1",0,0.462230844825573,1,0.981,0,"SPN_exotic","IQCJ-SCHIP1"
"SPOCK3",0,0.460867151491118,1,0.993,0,"SPN_exotic","SPOCK3"
"DACH1",0,0.45516298265628,1,0.96,0,"SPN_exotic","DACH1"
"TBL1X",0,0.424256626410226,0.898,0.712,0,"SPN_exotic","TBL1X"
"RBM20",0,0.413230685486716,0.954,0.836,0,"SPN_exotic","RBM20"
"PTPRD",0,0.412325300603561,1,0.979,0,"SPN_exotic","PTPRD"
"SLC8A1",0,0.409062206713484,1,0.998,0,"SPN_exotic","SLC8A1"
"OCA2",0,0.407328656620667,0.596,0.319,0,"SPN_exotic","OCA2"
"GAS7",0,0.406438491085452,0.996,0.969,0,"SPN_exotic","GAS7"
"LINC00598",0,0.40515326811323,0.89,0.738,0,"SPN_exotic","LINC00598"
"TMEM64",0,0.404515833145109,0.826,0.617,0,"SPN_exotic","TMEM64"
"CNTN5",0,0.404346130910426,0.863,0.75,0,"SPN_exotic","CNTN5"
"AL445584.2",0,0.404074941879142,0.715,0.467,0,"SPN_exotic","AL445584.2"
"TENM3",0,0.396428672116679,0.997,0.967,0,"SPN_exotic","TENM3"
"AC096719.1",0,0.392129246214525,0.298,0.102,0,"SPN_exotic","AC096719.1"
"RARB",0,0.389680641380601,1,0.961,0,"SPN_exotic","RARB"
"FOXP11",0,0.380388291089701,1,0.986,0,"SPN_exotic","FOXP1"
"GABRA5",0,0.380328206694884,0.862,0.669,0,"SPN_exotic","GABRA5"
"SGK1",0,0.37816174628836,0.998,0.981,0,"SPN_exotic","SGK1"
"MAML3",0,0.373530519538457,0.876,0.731,0,"SPN_exotic","MAML3"
"CHST11",0,0.371461753871054,0.997,0.969,0,"SPN_exotic","CHST11"
"PBX3",0,0.37087710494329,1,0.956,0,"SPN_exotic","PBX3"
"FAT1",0,0.369565305376382,0.504,0.205,0,"SPN_exotic","FAT1"
"LAMB1",0,0.361512217369773,0.849,0.716,0,"SPN_exotic","LAMB1"
"HOMER1",0,0.360436873967934,0.999,0.987,0,"SPN_exotic","HOMER1"
"SEMA3C",0,0.358342195882118,0.219,0.077,0,"SPN_exotic","SEMA3C"
"PDE9A",0,0.357351872755671,0.792,0.561,0,"SPN_exotic","PDE9A"
"AC092422.1",0,0.355863986698805,0.998,0.945,0,"SPN_exotic","AC092422.1"
"EPHA5",0,0.355369123836616,0.749,0.508,0,"SPN_exotic","EPHA5"
"RNF144A1",0,0.35507717124646,1,0.982,0,"SPN_exotic","RNF144A"
"KCNH1",0,0.354063257192844,0.999,0.982,0,"SPN_exotic","KCNH1"
"AC138646.1",0,0.350292652506273,0.346,0.036,0,"SPN_exotic","AC138646.1"
"KHDRBS2",0,0.348242214865418,0.998,0.976,0,"SPN_exotic","KHDRBS2"
"CDH10",0,0.347934890784184,0.633,0.297,0,"SPN_exotic","CDH10"
"RAP1GAP",0,0.335032563214942,0.995,0.947,0,"SPN_exotic","RAP1GAP"
"FAM171A1",0,0.334341051035288,1,0.975,0,"SPN_exotic","FAM171A1"
"NPAS2",0,0.33417860218583,0.989,0.962,0,"SPN_exotic","NPAS2"
"LINC01060",0,0.333734628097283,0.232,0.081,0,"SPN_exotic","LINC01060"
"GRIA1",0,0.332816791980333,1,0.994,0,"SPN_exotic","GRIA1"
"TPD52L1",0,0.331468237057838,0.979,0.903,0,"SPN_exotic","TPD52L1"
"ATRNL1",0,0.331407377526888,1,0.984,0,"SPN_exotic","ATRNL1"
"TENM1",0,0.331195297372786,0.878,0.721,0,"SPN_exotic","TENM1"
"PLCB1",0,0.323336448234357,1,0.997,0,"SPN_exotic","PLCB1"
"KIAA2012",0,0.320801513714843,0.5,0.205,0,"SPN_exotic","KIAA2012"
"KCNIP4-IT1",0,0.317519734331631,0.984,0.901,0,"SPN_exotic","KCNIP4-IT1"
"CACNB21",0,0.317158509218754,1,0.998,0,"SPN_exotic","CACNB2"
"GPM6A",0,0.311920376819146,0.998,0.983,0,"SPN_exotic","GPM6A"
"LAMP5",0,0.309452576090867,0.823,0.615,0,"SPN_exotic","LAMP5"
"AC008786.1",0,0.308746785466837,0.361,0.151,0,"SPN_exotic","AC008786.1"
"FRMD4B",0,0.306446022789953,0.992,0.936,0,"SPN_exotic","FRMD4B"
"MCTP1",0,0.305225520527502,1,0.987,0,"SPN_exotic","MCTP1"
"SORBS1",0,0.300893872562284,1,0.998,0,"SPN_exotic","SORBS1"
"GAD2",0,0.296071515661933,0.995,0.97,0,"SPN_exotic","GAD2"
"NETO1",0,0.29522121981408,0.999,0.97,0,"SPN_exotic","NETO1"
"FGF14",0,0.294779524516371,1,1,0,"SPN_exotic","FGF14"
"AL138720.1",0,0.292569242544636,0.228,0.045,0,"SPN_exotic","AL138720.1"
"TLN2",0,0.285549089067743,0.989,0.964,0,"SPN_exotic","TLN2"
"KL",0,0.282231004818755,0.393,0.105,0,"SPN_exotic","KL"
"PPP2R2C",0,0.275199603210786,0.999,0.992,0,"SPN_exotic","PPP2R2C"
"RBFOX1",0,0.272159971938351,1,0.999,0,"SPN_exotic","RBFOX1"
"HTR2A",0,0.270144115099766,0.346,0.144,0,"SPN_exotic","HTR2A"
"MAN1C1",0,0.262534981211938,0.588,0.341,0,"SPN_exotic","MAN1C1"
"LDB3",0,0.256464682758269,0.537,0.278,0,"SPN_exotic","LDB3"
"RASAL2",0,0.252873692411435,1,0.999,0,"SPN_exotic","RASAL2"
"DPP6",0,0.25213576165797,1,0.999,0,"SPN_exotic","DPP6"
"SLIT2",1.46360258462964e-303,0.364686631052901,0.992,0.942,4.77939424010808e-299,"SPN_exotic","SLIT2"
