"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PCDH11X",0,1.68880426384429,0.965,0.646,0,"SPN_matrix","PCDH11X"
"LINC02822",0,1.62446229746814,0.707,0.339,0,"SPN_matrix","LINC02822"
"SAMD5",0,1.59176281529456,0.979,0.534,0,"SPN_matrix","SAMD5"
"AL033504.1",0,1.44711561899073,0.962,0.507,0,"SPN_matrix","AL033504.1"
"ADAM12",0,1.31794557345153,0.952,0.583,0,"SPN_matrix","ADAM12"
"HTR4",0,1.30710951184514,1,0.799,0,"SPN_matrix","HTR4"
"LINC01378",0,1.27237378129965,0.787,0.528,0,"SPN_matrix","LINC01378"
"DCC",0,1.2610055024967,1,0.833,0,"SPN_matrix","DCC"
"ADAMTS19",0,1.2388055804301,0.999,0.805,0,"SPN_matrix","ADAMTS19"
"GRM1",0,1.19246817392538,0.995,0.733,0,"SPN_matrix","GRM1"
"AGBL1",0,1.07011727279438,0.721,0.486,0,"SPN_matrix","AGBL1"
"NDST3",0,1.02122788756953,0.999,0.907,0,"SPN_matrix","NDST3"
"HTR2C",0,0.987813834365907,1,0.801,0,"SPN_matrix","HTR2C"
"SASH1",0,0.957021847936845,0.882,0.405,0,"SPN_matrix","SASH1"
"AC021231.1",0,0.947405948143005,0.99,0.874,0,"SPN_matrix","AC021231.1"
"PCDH7",0,0.925085174521635,0.984,0.708,0,"SPN_matrix","PCDH7"
"UTRN",0,0.918169091617152,0.943,0.753,0,"SPN_matrix","UTRN"
"PDZD2",0,0.909115812846758,1,0.934,0,"SPN_matrix","PDZD2"
"AP003464.1",0,0.904068910726395,0.977,0.726,0,"SPN_matrix","AP003464.1"
"LINC01117",0,0.900654137280307,0.894,0.614,0,"SPN_matrix","LINC01117"
"HS3ST5",0,0.896336177229997,1,0.914,0,"SPN_matrix","HS3ST5"
"KIRREL3",0,0.855689890920528,1,0.866,0,"SPN_matrix","KIRREL3"
"CDH6",0,0.840075978856684,0.966,0.701,0,"SPN_matrix","CDH6"
"GRM8",0,0.833836203827823,0.991,0.748,0,"SPN_matrix","GRM8"
"AC008574.1",0,0.822857482035737,0.998,0.77,0,"SPN_matrix","AC008574.1"
"ARAP2",0,0.82153262880874,1,0.859,0,"SPN_matrix","ARAP2"
"SLC35F3",0,0.819403322409235,1,0.96,0,"SPN_matrix","SLC35F3"
"PRKCB",0,0.816845983829014,1,0.975,0,"SPN_matrix","PRKCB"
"GPC5",0,0.789855566623738,0.995,0.883,0,"SPN_matrix","GPC5"
"AL158077.2",0,0.787861614868063,0.972,0.816,0,"SPN_matrix","AL158077.2"
"AL022068.1",0,0.773137025800764,0.983,0.77,0,"SPN_matrix","AL022068.1"
"TJP1",0,0.763041493100694,1,0.995,0,"SPN_matrix","TJP1"
"AC109466.1",0,0.759033096110846,1,0.857,0,"SPN_matrix","AC109466.1"
"EPB41L2",0,0.758025326751187,1,0.956,0,"SPN_matrix","EPB41L2"
"KCND2",0,0.755908379471602,1,0.997,0,"SPN_matrix","KCND2"
"NTM",0,0.755655970985376,1,0.894,0,"SPN_matrix","NTM"
"MAP3K5",0,0.745066362064492,1,0.898,0,"SPN_matrix","MAP3K5"
"AL391840.1",0,0.741514917498195,0.874,0.549,0,"SPN_matrix","AL391840.1"
"ZNF385B",0,0.735079870357997,1,0.949,0,"SPN_matrix","ZNF385B"
"COCH",0,0.73348890268759,0.991,0.79,0,"SPN_matrix","COCH"
"MARCH1",0,0.705669315001498,0.996,0.873,0,"SPN_matrix","MARCH1"
"RIT2",0,0.689683488608516,0.991,0.818,0,"SPN_matrix","RIT2"
"LINC02755",0,0.678397930605955,0.908,0.716,0,"SPN_matrix","LINC02755"
"DNAH6",0,0.672550232924752,0.992,0.868,0,"SPN_matrix","DNAH6"
"SLC24A2",0,0.671589908589499,1,0.949,0,"SPN_matrix","SLC24A2"
"ADAM23",0,0.666483431737087,1,0.995,0,"SPN_matrix","ADAM23"
"SLC9A7",0,0.666349191349465,0.999,0.961,0,"SPN_matrix","SLC9A7"
"TESPA1",0,0.664993676680497,0.688,0.38,0,"SPN_matrix","TESPA1"
"CNTN3",0,0.659018464824082,0.962,0.738,0,"SPN_matrix","CNTN3"
"PCDH9",0,0.654966988993093,0.995,0.867,0,"SPN_matrix","PCDH9"
"TARID",0,0.646259801025846,0.679,0.473,0,"SPN_matrix","TARID"
"ADAMTS3",0,0.643877335682992,0.993,0.779,0,"SPN_matrix","ADAMTS3"
"EPB41L4A",0,0.640629379927531,0.908,0.607,0,"SPN_matrix","EPB41L4A"
"EYA1",0,0.637069864738983,0.993,0.752,0,"SPN_matrix","EYA1"
"MACROD2",0,0.633458155635386,1,1,0,"SPN_matrix","MACROD2"
"LRRC4C",0,0.630406345976848,1,0.995,0,"SPN_matrix","LRRC4C"
"AC013287.1",0,0.628297431200539,0.896,0.745,0,"SPN_matrix","AC013287.1"
"LHFPL3",0,0.62651257694303,1,0.905,0,"SPN_matrix","LHFPL3"
"AC079385.1",0,0.624194600765262,0.925,0.823,0,"SPN_matrix","AC079385.1"
"ADK",0,0.613660620477377,1,0.998,0,"SPN_matrix","ADK"
"SGK3",0,0.607210772765211,1,0.972,0,"SPN_matrix","SGK3"
"CHRM3",0,0.599771122392856,0.849,0.639,0,"SPN_matrix","CHRM3"
"LINC02112",0,0.59541470565041,0.803,0.607,0,"SPN_matrix","LINC02112"
"AC008415.1",0,0.583738370450193,0.991,0.82,0,"SPN_matrix","AC008415.1"
"MME",0,0.580477804408568,0.995,0.796,0,"SPN_matrix","MME"
"CCDC39",0,0.563500461309029,0.96,0.776,0,"SPN_matrix","CCDC39"
"RAPGEF5",0,0.558372675021635,1,0.962,0,"SPN_matrix","RAPGEF5"
"TLE4",0,0.556046043817151,1,0.887,0,"SPN_matrix","TLE4"
"ZFHX3",0,0.551175343458951,0.986,0.817,0,"SPN_matrix","ZFHX3"
"SOX9-AS1",0,0.550706947868656,0.565,0.367,0,"SPN_matrix","SOX9-AS1"
"ARNT2",0,0.545768650176275,0.999,0.927,0,"SPN_matrix","ARNT2"
"RCAN2",0,0.54237249280724,0.999,0.986,0,"SPN_matrix","RCAN2"
"DIAPH2",0,0.540339900668629,0.999,0.959,0,"SPN_matrix","DIAPH2"
"SRGAP1",0,0.540334382797919,0.998,0.895,0,"SPN_matrix","SRGAP1"
"AL445123.2",0,0.539936160291392,0.639,0.2,0,"SPN_matrix","AL445123.2"
"LINC02137",0,0.537507012511203,0.987,0.831,0,"SPN_matrix","LINC02137"
"AK5",0,0.528159106289548,0.995,0.918,0,"SPN_matrix","AK5"
"IGSF11",0,0.525011749455361,0.997,0.914,0,"SPN_matrix","IGSF11"
"GLI3",0,0.521998021571617,0.458,0.046,0,"SPN_matrix","GLI3"
"PLEKHA7",0,0.519432735303946,0.809,0.611,0,"SPN_matrix","PLEKHA7"
