"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IL1RAPL2",0,4.63880479038739,0.463,0.015,0,"non-SPN","IL1RAPL2"
"NXPH1",0,4.60615807499602,0.843,0.005,0,"non-SPN","NXPH1"
"GRIA4",0,4.29586348910141,0.981,0.141,0,"non-SPN","GRIA4"
"TCF4",0,4.02454160791472,0.941,0.005,0,"non-SPN","TCF4"
"SOX6",0,3.92342842162218,0.834,0.02,0,"non-SPN","SOX6"
"DPP10",0,3.73095875207293,0.944,0.845,0,"non-SPN","DPP10"
"NFIB",0,3.22301610773599,0.888,0.003,0,"non-SPN","NFIB"
"PCDH15",0,3.10905849185647,0.643,0.033,0,"non-SPN","PCDH15"
"NELL1",0,2.94015432907712,0.525,0.05,0,"non-SPN","NELL1"
"ZNF536",0,2.73873983540966,0.875,0.002,0,"non-SPN","ZNF536"
"TRPM3",0,2.7385055890841,0.784,0.184,0,"non-SPN","TRPM3"
"SLC44A5",0,2.60587281880334,0.871,0.073,0,"non-SPN","SLC44A5"
"GNAS",0,2.59465048061284,0.915,0.018,0,"non-SPN","GNAS"
"PDE1C",0,2.54801786397584,0.918,0.709,0,"non-SPN","PDE1C"
"ELAVL2",0,2.48782273618869,0.866,0.011,0,"non-SPN","ELAVL2"
"RBMS3",0,2.48391060426069,0.988,0.902,0,"non-SPN","RBMS3"
"HDAC9",0,2.45315332410273,0.922,0.366,0,"non-SPN","HDAC9"
"KLF12",0,2.44282301858401,0.877,0.083,0,"non-SPN","KLF12"
"SOX5",0,2.4205285955792,0.537,0.004,0,"non-SPN","SOX5"
"COL19A1",0,2.40157340933145,0.652,0.148,0,"non-SPN","COL19A1"
"LINGO2",0,2.38011740152873,0.742,0.57,0,"non-SPN","LINGO2"
"DSCAM",0,2.33634450963853,0.997,0.93,0,"non-SPN","DSCAM"
"LHFPL6",0,2.31273670699528,0.772,0.012,0,"non-SPN","LHFPL6"
"FAM155A",0,2.27935656653981,1,0.889,0,"non-SPN","FAM155A"
"ADAMTS9-AS2",0,2.24345440623029,0.471,0.016,0,"non-SPN","ADAMTS9-AS2"
"PDE1A",0,2.20920840031579,0.404,0.008,0,"non-SPN","PDE1A"
"KCNC2",0,2.15161992459612,0.572,0.001,0,"non-SPN","KCNC2"
"PDGFD",0,2.14200386616072,0.396,0.009,0,"non-SPN","PDGFD"
"NPY",0,2.12872891647611,0.157,0.007,0,"non-SPN","NPY"
"CLSTN2",0,2.11850175817521,0.613,0.098,0,"non-SPN","CLSTN2"
"GRIK1",0,2.08788142575851,0.495,0.048,0,"non-SPN","GRIK1"
"TMEM108",0,2.04446105798435,0.805,0.003,0,"non-SPN","TMEM108"
"AC233296.1",0,2.04222475314734,0.806,0.065,0,"non-SPN","AC233296.1"
"CHRM2",0,2.03720742923199,0.699,0.001,0,"non-SPN","CHRM2"
"PPM1E",0,2.00974214616186,0.891,0.125,0,"non-SPN","PPM1E"
"FCHSD2",0,2.00648168218211,0.889,0.121,0,"non-SPN","FCHSD2"
"KCNMB2",0,1.98883049218583,0.672,0.077,0,"non-SPN","KCNMB2"
"ZEB2",0,1.96285818270007,0.741,0.003,0,"non-SPN","ZEB2"
"KCNJ3",0,1.95613674328916,0.817,0.046,0,"non-SPN","KCNJ3"
"ASTN2",0,1.92092403681053,0.99,0.916,0,"non-SPN","ASTN2"
"ST18",0,1.91356440607886,0.66,0.007,0,"non-SPN","ST18"
"PCSK5",0,1.90725294419873,0.709,0.195,0,"non-SPN","PCSK5"
"PIP5K1B",0,1.88816623484924,0.791,0.052,0,"non-SPN","PIP5K1B"
"CPNE4",0,1.87624190375054,0.578,0.139,0,"non-SPN","CPNE4"
"TMTC2",0,1.87446169974894,0.647,0.482,0,"non-SPN","TMTC2"
"ANO4",0,1.85743313365215,0.739,0.049,0,"non-SPN","ANO4"
"DNER",0,1.84158129655402,0.787,0.253,0,"non-SPN","DNER"
"TAFA2",0,1.8409920917044,0.555,0.12,0,"non-SPN","TAFA2"
"SLC24A3",0,1.8221201771394,0.969,0.835,0,"non-SPN","SLC24A3"
"NEAT1",0,1.81368415419779,0.538,0.039,0,"non-SPN","NEAT1"
"DLX6-AS1",0,1.80708971903001,0.916,0.557,0,"non-SPN","DLX6-AS1"
"MAST4",0,1.79791097325983,0.857,0.097,0,"non-SPN","MAST4"
"RANBP17",0,1.76865127453126,0.803,0.005,0,"non-SPN","RANBP17"
"PTPRK",0,1.76801861556809,0.46,0.214,0,"non-SPN","PTPRK"
"PLCB4",0,1.76302921622571,0.816,0.102,0,"non-SPN","PLCB4"
"CAMK2D",0,1.70738576490928,0.771,0.189,0,"non-SPN","CAMK2D"
"MYRIP",0,1.70604796367618,0.952,0.709,0,"non-SPN","MYRIP"
"FRMD4A",0,1.70178357750242,0.999,0.994,0,"non-SPN","FRMD4A"
"HCN1",0,1.700405208116,0.877,0.347,0,"non-SPN","HCN1"
"KIAA1211",0,1.69931315542896,0.784,0.015,0,"non-SPN","KIAA1211"
"NFIA",0,1.66897280592159,0.768,0.347,0,"non-SPN","NFIA"
"AL445623.2",0,1.65055276265936,0.752,0.003,0,"non-SPN","AL445623.2"
"PDE3A",0,1.64327556422142,0.49,0.16,0,"non-SPN","PDE3A"
"PLD5",0,1.62573210065165,0.541,0.208,0,"non-SPN","PLD5"
"CNTNAP5",0,1.62378555450094,0.969,0.961,0,"non-SPN","CNTNAP5"
"ZBTB16",0,1.62233825560363,0.722,0.002,0,"non-SPN","ZBTB16"
"PPM1L",0,1.62018397973913,0.988,0.811,0,"non-SPN","PPM1L"
"NCALD",0,1.61937647152709,0.626,0.046,0,"non-SPN","NCALD"
"ADCY2",0,1.61503255691014,0.55,0.038,0,"non-SPN","ADCY2"
"NOS1AP",0,1.59740330533457,0.808,0.139,0,"non-SPN","NOS1AP"
"SRRM4",0,1.58745251137966,0.974,0.654,0,"non-SPN","SRRM4"
"NHS",0,1.58113296949479,0.824,0.118,0,"non-SPN","NHS"
"L3MBTL4",0,1.57824924544804,0.901,0.692,0,"non-SPN","L3MBTL4"
"VWC2",0,1.57379909105686,0.661,0.079,0,"non-SPN","VWC2"
"CUX2",0,1.57020529039577,0.626,0.012,0,"non-SPN","CUX2"
"MCC",0,1.56284522047138,0.71,0.067,0,"non-SPN","MCC"
"CABLES1",0,1.5563396153223,0.686,0.276,0,"non-SPN","CABLES1"
"SEMA5A",0,1.54479352042656,0.465,0.262,0,"non-SPN","SEMA5A"
"PARP8",0,1.54068068946323,0.783,0.023,0,"non-SPN","PARP8"
"KIT",0,1.54049415141977,0.647,0.036,0,"non-SPN","KIT"
"ERBB4",0,1.53348309322917,0.94,0.992,0,"non-SPN","ERBB4"
"GABBR2",0,1.52211015672807,0.911,0.363,0,"non-SPN","GABBR2"
"ETV1",0,1.51289522331142,0.707,0.278,0,"non-SPN","ETV1"
"ZNF608",0,1.49912688187615,0.734,0.044,0,"non-SPN","ZNF608"
"PEX5L",0,1.46447157246081,0.545,0.176,0,"non-SPN","PEX5L"
"GRIP1",0,1.46256145730233,0.995,0.998,0,"non-SPN","GRIP1"
"MIR181A1HG",0,1.4573943006776,0.851,0.38,0,"non-SPN","MIR181A1HG"
"CDH20",0,1.45644619639415,0.502,0.003,0,"non-SPN","CDH20"
"ENAH",0,1.45585583666472,0.826,0.2,0,"non-SPN","ENAH"
"ATP1B1",0,1.44586762748548,0.982,0.89,0,"non-SPN","ATP1B1"
"LSAMP1",0,1.44228342322648,1,1,0,"non-SPN","LSAMP"
"KCNB2",0,1.4342233309585,0.946,0.833,0,"non-SPN","KCNB2"
"TOX",0,1.42965776082605,0.272,0.038,0,"non-SPN","TOX"
"QKI",0,1.42898157369594,0.994,0.957,0,"non-SPN","QKI"
"CNTNAP4",0,1.41982751521551,0.902,0.484,0,"non-SPN","CNTNAP4"
"EDIL3",0,1.41929552324746,0.981,0.876,0,"non-SPN","EDIL3"
"GRK3",0,1.41567553853142,0.942,0.61,0,"non-SPN","GRK3"
"THSD7A",0,1.39998551501481,0.96,0.809,0,"non-SPN","THSD7A"
"TACR1",0,1.39796205498533,0.694,0.325,0,"non-SPN","TACR1"
"KLHL32",0,1.39686468263059,0.903,0.477,0,"non-SPN","KLHL32"
"MIR99AHG",0,1.37097967457522,0.999,0.978,0,"non-SPN","MIR99AHG"
"ADRA1A",0,1.3672382090328,0.666,0.001,0,"non-SPN","ADRA1A"
"AC092691.11",0,1.35599722313837,0.998,0.997,0,"non-SPN","AC092691.1"
"PLCXD3",0,1.33770138452083,0.463,0.034,0,"non-SPN","PLCXD3"
"ERC2",0,1.3366008907707,0.991,0.928,0,"non-SPN","ERC2"
"SRGAP3",0,1.33576612888045,0.999,0.805,0,"non-SPN","SRGAP3"
"NRCAM",0,1.32528592680223,1,0.993,0,"non-SPN","NRCAM"
"DAB1",0,1.31700472167896,0.959,0.805,0,"non-SPN","DAB1"
"CDH13",0,1.31034583756603,0.462,0.046,0,"non-SPN","CDH13"
"KLHL5",0,1.30860406662727,0.732,0.241,0,"non-SPN","KLHL5"
"SHISA6",0,1.30631952694802,0.533,0.244,0,"non-SPN","SHISA6"
"PDZRN4",0,1.28871443662885,0.386,0.029,0,"non-SPN","PDZRN4"
