"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GRIK11",0,2.41555631769765,0.651,0.08,0,"SPN_patch","GRIK1"
"KCNT21",0,1.70569833396706,0.69,0.093,0,"SPN_patch","KCNT2"
"POU6F2",0,1.55254324788707,0.596,0.051,0,"SPN_patch","POU6F2"
"FHOD31",0,1.3920793939054,0.682,0.187,0,"SPN_patch","FHOD3"
"CDH131",0,1.28120734382265,0.52,0.077,0,"SPN_patch","CDH13"
"LINC022231",0,1.13695922723574,0.491,0.069,0,"SPN_patch","LINC02223"
"SEMA3E",0,1.02948772407317,0.526,0.06,0,"SPN_patch","SEMA3E"
"TRHDE",0,0.986109725015543,0.58,0.103,0,"SPN_patch","TRHDE"
"SMYD21",0,0.914248105716523,0.562,0.121,0,"SPN_patch","SMYD2"
"AC132153.11",0,0.882199791804009,0.478,0.045,0,"SPN_patch","AC132153.1"
"AC048352.1",0,0.757061680600091,0.439,0.032,0,"SPN_patch","AC048352.1"
"AC004704.1",0,0.719714467244122,0.295,0.013,0,"SPN_patch","AC004704.1"
"LGR5",0,0.54908451748018,0.369,0.03,0,"SPN_patch","LGR5"
"LINC02254",0,0.433112943221574,0.363,0.044,0,"SPN_patch","LINC02254"
"FHAD1",0,0.384865613721413,0.332,0.02,0,"SPN_patch","FHAD1"
"CACNG5",0,0.38035583995122,0.358,0.035,0,"SPN_patch","CACNG5"
"AL133346.11",0,0.366135085421383,0.243,0.021,0,"SPN_patch","AL133346.1"
"SDK21",0,0.364672172988282,0.385,0.053,0,"SPN_patch","SDK2"
"LINC00707",0,0.336992935786009,0.28,0.023,0,"SPN_patch","LINC00707"
"ATP10A",0,0.316281572863533,0.303,0.032,0,"SPN_patch","ATP10A"
"HCN11",4.06110315789523e-307,1.41471016519537,0.922,0.387,1.32615323621069e-302,"SPN_patch","HCN1"
"SLC22A10",5.48003722844858e-305,1.25803193867132,0.685,0.195,1.78950615694988e-300,"SPN_patch","SLC22A10"
"ATP2B4",1.5258434179208e-299,0.502505579192216,0.6,0.129,4.98264168122036e-295,"SPN_patch","ATP2B4"
"MID11",6.14049933036476e-282,0.860500537171054,0.621,0.167,2.00518005633061e-277,"SPN_patch","MID1"
"LINC01305",2.43856473419224e-281,0.326873206533313,0.389,0.063,7.96313313950477e-277,"SPN_patch","LINC01305"
"ARHGAP181",3.18112080536612e-261,0.487073121705059,0.578,0.129,1.03879499899231e-256,"SPN_patch","ARHGAP18"
"CDK15",2.33450291929317e-260,0.26711869516046,0.201,0.018,7.62331928295185e-256,"SPN_patch","CDK15"
"SULF21",5.32766127726882e-250,0.671378640802782,0.534,0.135,1.73974779009213e-245,"SPN_patch","SULF2"
"PLCXD31",3.04262203178215e-244,0.712885494635594,0.394,0.068,9.93568224478462e-240,"SPN_patch","PLCXD3"
"TRHDE-AS1",1.43073730520892e-237,0.304204267998847,0.381,0.065,4.67207267015973e-233,"SPN_patch","TRHDE-AS1"
"PDZRN31",2.45259619748686e-233,0.572758259626572,0.292,0.041,8.00895288289335e-229,"SPN_patch","PDZRN3"
"BRINP32",2.36427021941145e-231,1.46413174390828,0.916,0.509,7.7205244014881e-227,"SPN_patch","BRINP3"
"GRIK3",9.02344035489126e-231,1.25014971116941,0.64,0.244,2.94660444788974e-226,"SPN_patch","GRIK3"
"CLMP",1.45715786165906e-230,0.265995933008916,0.253,0.033,4.75834899724766e-226,"SPN_patch","CLMP"
"ZNF804A",9.77971989829446e-228,1.68796248266741,0.993,0.959,3.19356753278806e-223,"SPN_patch","ZNF804A"
"ALK1",4.73203091594038e-225,1.40848149057671,0.633,0.205,1.54524469560033e-220,"SPN_patch","ALK"
"FGFR11",3.11749482653691e-224,0.28478275786117,0.334,0.055,1.01801793560563e-219,"SPN_patch","FGFR1"
"ENPEP",1.21415350961606e-223,0.282144578783637,0.286,0.041,3.96481828565125e-219,"SPN_patch","ENPEP"
"BACH21",7.57255709950461e-223,1.76365114978019,0.755,0.327,2.47281852084323e-218,"SPN_patch","BACH2"
"CNTNAP2",2.40305240539676e-218,0.875414315539664,1,1,7.84716762982311e-214,"SPN_patch","CNTNAP2"
"SPON11",2.8557980166104e-216,1.25147144202648,0.922,0.594,9.32560842324127e-212,"SPN_patch","SPON1"
"NAB1",1.03830480304316e-215,0.435377804889345,0.505,0.127,3.39058433433745e-211,"SPN_patch","NAB1"
"KLF121",3.55501825470107e-209,0.471358776455618,0.575,0.148,1.16089121107264e-204,"SPN_patch","KLF12"
"RCBTB1",4.03427356307018e-208,0.658836671131241,0.592,0.201,1.31739203202057e-203,"SPN_patch","RCBTB1"
"KCNIP11",2.34102293684609e-207,1.40246752255034,0.865,0.503,7.64461040027091e-203,"SPN_patch","KCNIP1"
"AL353604.1",6.4224538296295e-203,0.662491921136216,0.524,0.144,2.09725229806551e-198,"SPN_patch","AL353604.1"
"AL356124.11",1.52669633837222e-196,0.365316883145871,0.504,0.121,4.98542689295449e-192,"SPN_patch","AL356124.1"
"BMPER1",9.77009804657171e-187,1.27662419988817,0.902,0.66,3.19042551710799e-182,"SPN_patch","BMPER"
"GRIP11",5.15467009764913e-186,0.84289664392728,1,0.998,1.68325752038732e-181,"SPN_patch","GRIP1"
"UNC5D1",1.9427033999049e-182,1.61149894229103,0.964,0.862,6.34389795238946e-178,"SPN_patch","UNC5D"
"FSTL5",6.8854927162391e-182,1.29644743121714,0.918,0.697,2.24845764648788e-177,"SPN_patch","FSTL5"
"AL356295.11",4.98228082208294e-181,1.59812765143927,0.615,0.233,1.62696380245118e-176,"SPN_patch","AL356295.1"
"KIRREL1",2.15492366710776e-176,0.288669099430488,0.367,0.076,7.0369032349404e-172,"SPN_patch","KIRREL1"
"COL21A11",6.86880387536655e-172,0.346022779172614,0.338,0.069,2.24300790550095e-167,"SPN_patch","COL21A1"
"LRP1B1",2.27894761634322e-167,1.10202121250941,1,0.999,7.44190344116878e-163,"SPN_patch","LRP1B"
"NTNG1",3.0716553760945e-164,0.954363591347091,0.791,0.4,1.00304906306366e-159,"SPN_patch","NTNG1"
"TTN",1.52184662144105e-163,2.48357175695406,0.771,0.471,4.96959014231576e-159,"SPN_patch","TTN"
"DCDC2C",1.43697101096221e-162,0.376766067766442,0.407,0.102,4.69242883629711e-158,"SPN_patch","DCDC2C"
"GRM7",8.02229335353876e-162,0.788065830274596,1,0.978,2.61967989459808e-157,"SPN_patch","GRM7"
"NPAS31",1.6632564475953e-154,1.14493952992164,0.999,0.984,5.43136392962245e-150,"SPN_patch","NPAS3"
"VAV1",2.17973614645387e-149,0.250813759721466,0.326,0.073,7.11792838624511e-145,"SPN_patch","VAV1"
"RBFOX11",7.04778988413254e-148,0.365586844012998,1,0.999,2.30145578666348e-143,"SPN_patch","RBFOX1"
"FAT11",1.32284649350272e-145,0.526025164476394,0.62,0.249,4.31975522453313e-141,"SPN_patch","FAT1"
"AC006460.2",1.4508988730209e-145,0.286815980840938,0.373,0.096,4.73791026984976e-141,"SPN_patch","AC006460.2"
"PDE4B",6.27337332231492e-144,0.985939375016029,0.98,0.929,2.04857005840194e-139,"SPN_patch","PDE4B"
"NRG11",2.51110735708512e-143,1.93118290220198,0.961,0.953,8.20002107456145e-139,"SPN_patch","NRG1"
"IDI2-AS1",1.40546911809262e-140,0.289891848942485,0.372,0.099,4.58955940513144e-136,"SPN_patch","IDI2-AS1"
"NETO11",1.54662985702536e-139,1.26963954889591,0.997,0.974,5.05051979811632e-135,"SPN_patch","NETO1"
"GALNTL61",7.35917496210504e-138,0.652468439652185,0.989,0.885,2.4031385838754e-133,"SPN_patch","GALNTL6"
