"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_subtract","weighted_logFC"
"LUZP2",0,4.35941524822479,0.998,0.104,0,"eSPN","LUZP2",0.894,3.89731723191296
"FOXP2",0,3.33955450424147,1,0.674,0,"eSPN","FOXP2",0.326,1.08869476838272
"TRHDE",0,3.17414683154077,0.988,0.065,0,"eSPN","TRHDE",0.923,2.92973752551213
"ZNF804B",0,3.07249448058128,0.989,0.262,0,"eSPN","ZNF804B",0.727,2.23370348738259
"NTNG1",0,2.1292873182968,0.994,0.565,0,"eSPN","NTNG1",0.429,0.913464259549326
"RXFP1",0,2.11720135307263,0.932,0.013,0,"eSPN","RXFP1",0.919,1.94570804347375
"GFRA1",0,2.04478006332169,0.988,0.406,0,"eSPN","GFRA1",0.582,1.19006199685323
"STAC",0,2.01565169035188,0.901,0.069,0,"eSPN","STAC",0.832,1.67702220637277
"TLL1",0,1.96094579801778,0.992,0.303,0,"eSPN","TLL1",0.689,1.35109165483425
"ESRRG",0,1.84662445518561,0.999,0.979,0,"eSPN","ESRRG",0.02,0.0369324891037122
"TSHZ1",0,1.79606487182582,0.998,0.512,0,"eSPN","TSHZ1",0.486,0.87288752770735
"ILDR2",0,1.72955036093258,0.933,0.037,0,"eSPN","ILDR2",0.896,1.54967712339559
"CALCRL",0,1.67634936986679,0.776,0.106,0,"eSPN","CALCRL",0.67,1.12315407781075
"PDE8B",0,1.65349022548024,1,0.965,0,"eSPN","PDE8B",0.035,0.0578721578918084
"ARHGAP18",0,1.62074706917238,0.922,0.12,0,"eSPN","ARHGAP18",0.802,1.29983914947625
"FRAS1",0,1.53951693321508,1,0.991,0,"eSPN","FRAS1",0.00900000000000001,0.0138556523989357
"KCNH8",0,1.50978277325353,0.765,0.036,0,"eSPN","KCNH8",0.729,1.10063164170182
"PCSK2",0,1.40918738895819,1,0.996,0,"eSPN","PCSK2",0.004,0.00563674955583276
"RUNX1T1",0,1.39530559276605,1,0.977,0,"eSPN","RUNX1T1",0.023,0.0320920286336193
"MVB12B",0,1.39338679261377,1,0.992,0,"eSPN","MVB12B",0.00800000000000001,0.0111470943409101
"NKAIN2",0,1.29089380377936,1,0.983,0,"eSPN","NKAIN2",0.017,0.0219451946642491
"ANKRD61",0,1.26820870484126,0.955,0.349,0,"eSPN","ANKRD61",0.606,0.768534475133802
"SHROOM3",0,1.22144219185238,0.815,0.082,0,"eSPN","SHROOM3",0.733,0.895317126627797
"EPHA6",0,1.20934940325978,1,0.999,0,"eSPN","EPHA6",0.001,0.00120934940325978
"FRK",0,1.20679733647786,0.895,0.35,0,"eSPN","FRK",0.545,0.657704548380432
"WLS",0,1.19331435045534,0.851,0.195,0,"eSPN","WLS",0.656,0.782814213898701
"C8orf34",0,1.12220234285827,0.998,0.939,0,"eSPN","C8orf34",0.0590000000000001,0.0662099382286379
"ATP2B4",0,1.10355820068458,0.88,0.098,0,"eSPN","ATP2B4",0.782,0.862982512935339
"CASZ1",0,1.07098291179058,0.872,0.015,0,"eSPN","CASZ1",0.857,0.91783235540453
"PMEPA1",0,1.02702520672446,0.994,0.826,0,"eSPN","PMEPA1",0.168,0.172540234729709
"PBX1",0,1.01509249505852,1,0.98,0,"eSPN","PBX1",0.02,0.0203018499011705
"NT5DC1",0,1.00798033437698,0.995,0.967,0,"eSPN","NT5DC1",0.028,0.0282234493625554
"PTPRO",0,0.978544331571543,1,0.994,0,"eSPN","PTPRO",0.00600000000000001,0.00587126598942926
"PLXNA2",0,0.974940322393392,1,0.975,0,"eSPN","PLXNA2",0.025,0.0243735080598348
"GPR158",0,0.966535507290967,1,0.992,0,"eSPN","GPR158",0.00800000000000001,0.00773228405832774
"TENM4",0,0.951848122064623,1,0.991,0,"eSPN","TENM4",0.00900000000000001,0.00856663309858162
"KIRREL1",0,0.918127712728761,0.817,0.071,0,"eSPN","KIRREL1",0.746,0.684923273695656
"DOCK1",0,0.91751820832629,0.948,0.557,0,"eSPN","DOCK1",0.391,0.358749619455579
"COL11A1",0,0.911743047326508,0.992,0.679,0,"eSPN","COL11A1",0.313,0.285375573813197
"ACTN2",0,0.895660252875708,0.999,0.939,0,"eSPN","ACTN2",0.0600000000000001,0.0537396151725425
"CACNG5",0,0.89402671513874,0.819,0.04,0,"eSPN","CACNG5",0.779,0.696446811093078
"CAMK2N1",0,0.864876900207086,0.995,0.895,0,"eSPN","CAMK2N1",0.1,0.0864876900207086
"SORL1",0,0.863960668653584,0.981,0.709,0,"eSPN","SORL1",0.272,0.234997301873775
"ZSWIM6",0,0.856423847239348,1,0.999,0,"eSPN","ZSWIM6",0.001,0.000856423847239349
"GRB14",0,0.841208026956537,0.718,0.136,0,"eSPN","GRB14",0.582,0.489583071688704
"PDIA5",0,0.835881897261525,0.958,0.526,0,"eSPN","PDIA5",0.432,0.361100979616979
