"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_subtract","weighted_logFC"
"PCDH11X",0,1.68992336648238,0.985,0.623,0,"SPN_matrix","PCDH11X",0.362,0.611752258666623
"HTR4",0,1.62992662979155,1,0.745,0,"SPN_matrix","HTR4",0.255,0.415631290596844
"SAMD5",0,1.59978162076248,0.978,0.589,0,"SPN_matrix","SAMD5",0.389,0.622315050476606
"DCC",0,1.58044202234421,1,0.82,0,"SPN_matrix","DCC",0.18,0.284479564021958
"ADAMTS19",0,1.50633462765267,1,0.782,0,"SPN_matrix","ADAMTS19",0.218,0.328380948828282
"ADAM12",0,1.47677500434241,0.988,0.639,0,"SPN_matrix","ADAM12",0.349,0.515394476515499
"HTR2C",0,1.42526854189937,0.999,0.733,0,"SPN_matrix","HTR2C",0.266,0.379121432145232
"GRM1",0,1.31599399932102,0.998,0.718,0,"SPN_matrix","GRM1",0.28,0.368478319809885
"HS3ST5",0,1.19388361370984,1,0.918,0,"SPN_matrix","HS3ST5",0.082,0.097898456324207
"PDZD2",0,1.13897963432437,1,0.963,0,"SPN_matrix","PDZD2",0.037,0.0421422464700019
"NDST3",0,1.10961659646981,1,0.898,0,"SPN_matrix","NDST3",0.102,0.11318089283992
"PRKCB",0,1.09298827542407,1,0.991,0,"SPN_matrix","PRKCB",0.00900000000000001,0.00983689447881662
"GPC5",0,1.08706748518259,0.998,0.888,0,"SPN_matrix","GPC5",0.11,0.119577423370085
"ARAP2",0,1.05012783971616,1,0.842,0,"SPN_matrix","ARAP2",0.158,0.165920198675153
"CDH6",0,1.04191125802874,0.983,0.678,0,"SPN_matrix","CDH6",0.305,0.317782933698767
"PCDH9",0,1.03869329356433,0.999,0.925,0,"SPN_matrix","PCDH9",0.074,0.0768633037237606
"EYA1",0,1.03129387022757,0.997,0.687,0,"SPN_matrix","EYA1",0.31,0.319701099770547
"SLC35F3",0,1.02800192693795,1,0.975,0,"SPN_matrix","SLC35F3",0.025,0.0257000481734488
"AGBL1",0,0.977313308355648,0.708,0.435,0,"SPN_matrix","AGBL1",0.273,0.266806533181092
"DNAH6",0,0.956820927199384,0.999,0.859,0,"SPN_matrix","DNAH6",0.14,0.133954929807914
"COCH",0,0.955183758541938,0.999,0.734,0,"SPN_matrix","COCH",0.265,0.253123696013614
"EPB41L2",0,0.93736418085069,1,0.962,0,"SPN_matrix","EPB41L2",0.038,0.0356198388723262
"SASH1",0,0.909726974618939,0.922,0.457,0,"SPN_matrix","SASH1",0.465,0.423023043197806
"ADAMTS3",0,0.903618711820784,0.998,0.705,0,"SPN_matrix","ADAMTS3",0.293,0.26476028256349
"PCDH7",0,0.889855448044083,0.992,0.784,0,"SPN_matrix","PCDH7",0.208,0.185089933193169
"LHFPL3",0,0.860325625499133,1,0.881,0,"SPN_matrix","LHFPL3",0.119,0.102378749434397
"ADAM23",0,0.858443133735301,1,0.999,0,"SPN_matrix","ADAM23",0.001,0.000858443133735302
"NTM",0,0.85220090803199,1,0.9,0,"SPN_matrix","NTM",0.1,0.085220090803199
"ZNF385B",0,0.842838227337309,1,0.957,0,"SPN_matrix","ZNF385B",0.043,0.0362420437755043
"LRRC4C",0,0.84024660355423,1,0.995,0,"SPN_matrix","LRRC4C",0.005,0.00420123301777115
"SHISA9",0,0.839420283173998,1,0.831,0,"SPN_matrix","SHISA9",0.169,0.141862027856406
"TJP1",0,0.829327261437824,1,0.999,0,"SPN_matrix","TJP1",0.001,0.000829327261437825
"SGK3",0,0.825779499148446,1,0.991,0,"SPN_matrix","SGK3",0.00900000000000001,0.00743201549233602
"SLC24A2",0,0.799305995297144,1,0.942,0,"SPN_matrix","SLC24A2",0.0580000000000001,0.0463597477272344
"UTRN",0,0.79785472726689,0.948,0.8,0,"SPN_matrix","UTRN",0.148,0.1180824996355
"RALYL",0,0.797157254417475,1,0.944,0,"SPN_matrix","RALYL",0.056,0.0446408062473787
"RIT2",0,0.79611777704315,0.997,0.809,0,"SPN_matrix","RIT2",0.188,0.149670142084112
"LDB2",0,0.787206958920424,1,0.775,0,"SPN_matrix","LDB2",0.225,0.177121565757095
"GRM3",0,0.783126217633888,1,0.807,0,"SPN_matrix","GRM3",0.193,0.15114336000334
"PLPPR1",0,0.783076774259385,1,0.844,0,"SPN_matrix","PLPPR1",0.156,0.122159976784464
"SMOC2",0,0.782148047186457,0.931,0.555,0,"SPN_matrix","SMOC2",0.376,0.294087665742108
"MAN1A1",0,0.777708025081402,0.999,0.815,0,"SPN_matrix","MAN1A1",0.184,0.143098276614978
"TLE4",0,0.77443533161397,1,0.835,0,"SPN_matrix","TLE4",0.165,0.127781829716305
"EPB41L4A",0,0.76649839798086,0.942,0.562,0,"SPN_matrix","EPB41L4A",0.38,0.291269391232727
"KCND2",0,0.761941847387884,1,0.998,0,"SPN_matrix","KCND2",0.002,0.00152388369477577
"MME",0,0.744775923127112,0.996,0.745,0,"SPN_matrix","MME",0.251,0.186938756704905
"MAP3K5",0,0.739217127194705,0.999,0.916,0,"SPN_matrix","MAP3K5",0.083,0.0613550215571605
"CALB1",0,0.731201554414943,0.966,0.667,0,"SPN_matrix","CALB1",0.299,0.218629264770068
