"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_subtract","weighted_logFC"
"IL1RAPL2",0,4.78403135255521,0.542,0.008,0,"non-SPN","IL1RAPL2",0.534,2.55467274226448
"NXPH1",0,4.74139931432033,0.908,0.031,0,"non-SPN","NXPH1",0.877,4.15820719865893
"GRIA4",0,4.27943201969096,0.992,0.232,0,"non-SPN","GRIA4",0.76,3.25236833496513
"TCF4",0,3.91037077704156,0.974,0.05,0,"non-SPN","TCF4",0.924,3.6131825979864
"SOX6",0,3.76369645984299,0.901,0.05,0,"non-SPN","SOX6",0.851,3.20290568732638
"DPP10",0,3.51676252201645,0.97,0.945,0,"non-SPN","DPP10",0.025,0.0879190630504114
"NFIB",0,3.24498583892302,0.939,0.015,0,"non-SPN","NFIB",0.924,2.99836691516487
"ZNF536",0,3.06295578314404,0.959,0.015,0,"non-SPN","ZNF536",0.944,2.89143025928797
"PCDH15",0,3.04064191856314,0.723,0.127,0,"non-SPN","PCDH15",0.596,1.81222258346363
"NELL1",0,2.86257241949361,0.517,0.065,0,"non-SPN","NELL1",0.452,1.29388273361111
"TRPM3",0,2.72485640407354,0.87,0.42,0,"non-SPN","TRPM3",0.45,1.22618538183309
"COL19A1",0,2.61888813853275,0.829,0.416,0,"non-SPN","COL19A1",0.413,1.08160080121403
"DSCAM",0,2.55757502051287,0.997,0.939,0,"non-SPN","DSCAM",0.0580000000000001,0.148339351189746
"PDE1C",0,2.53851117353378,0.95,0.836,0,"non-SPN","PDE1C",0.114,0.28939027378285
"HDAC9",0,2.49763172277856,0.977,0.542,0,"non-SPN","HDAC9",0.435,1.08646979940868
"KLF12",0,2.49438998141229,0.962,0.153,0,"non-SPN","KLF12",0.809,2.01796149496254
"SLC44A5",0,2.4916807853091,0.948,0.134,0,"non-SPN","SLC44A5",0.814,2.0282281592416
"GNAS",0,2.48413760948144,0.97,0.067,0,"non-SPN","GNAS",0.903,2.24317626136174
"SOX5",0,2.44746887895796,0.641,0.02,0,"non-SPN","SOX5",0.621,1.51987817383289
"ELAVL2",0,2.42687587494536,0.913,0.014,0,"non-SPN","ELAVL2",0.899,2.18176141157587
"RBMS3",0,2.38301943144009,0.997,0.967,0,"non-SPN","RBMS3",0.03,0.0714905829432028
"LHFPL6",0,2.37627347689461,0.863,0.036,0,"non-SPN","LHFPL6",0.827,1.96517816539184
"FAM155A",0,2.2228868997362,0.999,0.828,0,"non-SPN","FAM155A",0.171,0.38011365985489
"ST18",0,2.21626363195094,0.843,0.056,0,"non-SPN","ST18",0.787,1.74419947834539
"KCNC2",0,2.13398783700923,0.626,0.002,0,"non-SPN","KCNC2",0.624,1.33160841029376
"ZEB2",0,2.06732991062062,0.866,0.025,0,"non-SPN","ZEB2",0.841,1.73862445483194
"GRIK1",0,2.06280468392259,0.595,0.085,0,"non-SPN","GRIK1",0.51,1.05203038880052
"ANO4",0,2.05880335735675,0.848,0.072,0,"non-SPN","ANO4",0.776,1.59763140530884
"PDGFD",0,2.04720763217614,0.456,0.014,0,"non-SPN","PDGFD",0.442,0.904865773421854
"SLC24A3",0,2.03148123190815,0.997,0.897,0,"non-SPN","SLC24A3",0.1,0.203148123190815
"PIP5K1B",0,2.01717427423124,0.9,0.074,0,"non-SPN","PIP5K1B",0.826,1.666185950515
"PCSK5",0,1.98871881801877,0.864,0.338,0,"non-SPN","PCSK5",0.526,1.04606609827787
"KCNMB2",0,1.97208654724274,0.734,0.121,0,"non-SPN","KCNMB2",0.613,1.2088890534598
"FRMD4A",0,1.96398058989317,1,0.998,0,"non-SPN","FRMD4A",0.002,0.00392796117978635
"TMEM108",0,1.95257989008808,0.891,0.009,0,"non-SPN","TMEM108",0.882,1.72217546305768
"CHRM2",0,1.93282591473482,0.784,0.002,0,"non-SPN","CHRM2",0.782,1.51146986532263
"KCNJ3",0,1.92970965402486,0.883,0.065,0,"non-SPN","KCNJ3",0.818,1.57850249699234
"CLSTN2",0,1.91737930913821,0.712,0.152,0,"non-SPN","CLSTN2",0.56,1.0737324131174
"FCHSD2",0,1.90678319920675,0.991,0.272,0,"non-SPN","FCHSD2",0.719,1.37097712022965
"ZBTB16",0,1.90450112971494,0.851,0.004,0,"non-SPN","ZBTB16",0.847,1.61311245686855
"SRRM4",0,1.90411955318135,0.998,0.83,0,"non-SPN","SRRM4",0.168,0.319892084934467
"MYRIP",0,1.88985564971892,0.98,0.785,0,"non-SPN","MYRIP",0.195,0.36852185169519
"PPM1E",0,1.88182152523841,0.973,0.161,0,"non-SPN","PPM1E",0.812,1.52803907849359
"MAST4",0,1.88160458063809,0.949,0.133,0,"non-SPN","MAST4",0.816,1.53538933780068
"PDE1A",0,1.86002851364746,0.424,0.03,0,"non-SPN","PDE1A",0.394,0.732851234377098
"NCALD",0,1.84518433931679,0.762,0.037,0,"non-SPN","NCALD",0.725,1.33775864600467
"ASTN2",0,1.82078174499711,0.998,0.978,0,"non-SPN","ASTN2",0.02,0.0364156348999422
"NOS1AP",0,1.81563543777585,0.931,0.17,0,"non-SPN","NOS1AP",0.761,1.38169856814742
"CDH20",0,1.79541108973455,0.715,0.011,0,"non-SPN","CDH20",0.704,1.26396940717312
"EDIL3",0,1.77838751094662,0.989,0.855,0,"non-SPN","EDIL3",0.134,0.238303926466847
"CNTNAP5",0,1.77594043991836,0.984,0.967,0,"non-SPN","CNTNAP5",0.017,0.0301909874786122
"SEMA5A",0,1.76494278458109,0.66,0.383,0,"non-SPN","SEMA5A",0.277,0.488889151328961
"RANBP17",0,1.76426495963279,0.909,0.006,0,"non-SPN","RANBP17",0.903,1.5931312585484
"DNER",0,1.75346219797754,0.941,0.313,0,"non-SPN","DNER",0.628,1.1011742603299
"VWC2",0,1.75010830365077,0.843,0.213,0,"non-SPN","VWC2",0.63,1.10256823129998
"GABBR2",0,1.72491187879818,0.99,0.611,0,"non-SPN","GABBR2",0.379,0.653741602064509
"NPY",0,1.71012673758901,0.217,0.016,0,"non-SPN","NPY",0.201,0.343735474255392
"TAFA2",0,1.70094611869846,0.634,0.189,0,"non-SPN","TAFA2",0.445,0.756921022820813
"NFIA",0,1.6811283087723,0.899,0.455,0,"non-SPN","NFIA",0.444,0.7464209690949
"KIT",0,1.67224920182237,0.802,0.057,0,"non-SPN","KIT",0.745,1.24582565535767
"PPM1L",0,1.66850601011087,0.995,0.911,0,"non-SPN","PPM1L",0.084,0.140154504849313
"NHS",0,1.6673396363183,0.931,0.173,0,"non-SPN","NHS",0.758,1.26384344432927
"PLCB4",0,1.6670255932518,0.906,0.09,0,"non-SPN","PLCB4",0.816,1.36029288409347
"ZNF608",0,1.66407764229386,0.885,0.054,0,"non-SPN","ZNF608",0.831,1.38284852074619
"MCC",0,1.65261821349249,0.856,0.112,0,"non-SPN","MCC",0.744,1.22954795083841
"CUX2",0,1.65237322687328,0.736,0.023,0,"non-SPN","CUX2",0.713,1.17814211076065
"CABLES1",0,1.64467604736463,0.845,0.38,0,"non-SPN","CABLES1",0.465,0.764774362024551
"PDE3A",0,1.60838397445268,0.675,0.448,0,"non-SPN","PDE3A",0.227,0.365103162200759
"SRGAP3",0,1.58982792686567,0.999,0.9,0,"non-SPN","SRGAP3",0.099,0.157392964759702
"L3MBTL4",0,1.58409376704714,0.955,0.832,0,"non-SPN","L3MBTL4",0.123,0.194843533346799
"PLCXD3",0,1.57967153188776,0.539,0.056,0,"non-SPN","PLCXD3",0.483,0.762981349901789
"GRK3",0,1.53118088263201,0.979,0.638,0,"non-SPN","GRK3",0.341,0.522132680977515
"QKI",0,1.5188175504548,0.998,0.964,0,"non-SPN","QKI",0.034,0.0516397967154632
"PTPRK",0,1.50715171075623,0.552,0.254,0,"non-SPN","PTPRK",0.298,0.449131209805357
"HCN1",0,1.49533137036747,0.955,0.637,0,"non-SPN","HCN1",0.318,0.475515375776856
"STARD13",0,1.48797568032325,0.972,0.795,0,"non-SPN","STARD13",0.177,0.263371695417215
"CAMK2D",0,1.47847562757639,0.898,0.225,0,"non-SPN","CAMK2D",0.673,0.995014097358911
"PLD5",0,1.46786749309831,0.768,0.561,0,"non-SPN","PLD5",0.207,0.303848571071351
"SAMD4A",0,1.46686840249111,0.875,0.173,0,"non-SPN","SAMD4A",0.702,1.02974161854876
"KCNH7",0,1.46390621382587,0.981,0.886,0,"non-SPN","KCNH7",0.095,0.139071090313458
"SLC6A1",0,1.45882772166922,0.97,0.921,0,"non-SPN","SLC6A1",0.0489999999999999,0.0714825583617919
