"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_subtract","weighted_logFC"
"BACH2",0,1.66467957083432,0.985,0.559,0,"SPN_patch","BACH2",0.426,0.709153497175422
"PTPRQ",0,1.31674693244979,0.724,0.309,0,"SPN_patch","PTPRQ",0.415,0.546449976966665
"GPC6",0,1.11171384952026,0.998,0.916,0,"SPN_patch","GPC6",0.082,0.0911605356606609
"KCNIP1",0,1.03726869422995,0.945,0.511,0,"SPN_patch","KCNIP1",0.434,0.450174613295797
"RELN",0,1.0301573038119,0.942,0.732,0,"SPN_patch","RELN",0.21,0.216333033800499
"CDH18",0,1.01483390097505,0.985,0.945,0,"SPN_patch","CDH18",0.04,0.040593356039002
"SEMA6D",0,1.00076968104749,1,0.956,0,"SPN_patch","SEMA6D",0.044,0.0440338659660894
"LRMDA",0,0.806315754075252,0.974,0.847,0,"SPN_patch","LRMDA",0.127,0.102402100767557
"PHACTR1",0,0.802874733971876,1,0.999,0,"SPN_patch","PHACTR1",0.001,0.000802874733971877
"COL25A1",0,0.734500684471366,0.993,0.934,0,"SPN_patch","COL25A1",0.0589999999999999,0.0433355403838106
"LOXHD1",0,0.72923019590793,0.977,0.688,0,"SPN_patch","LOXHD1",0.289,0.210747526617392
"NRG1",0,0.724369877485572,1,0.967,0,"SPN_patch","NRG1",0.033,0.0239042059570239
"SPON1",0,0.720348647412769,0.988,0.758,0,"SPN_patch","SPON1",0.23,0.165680188904937
"KHDRBS3",0,0.663272681445202,0.85,0.591,0,"SPN_patch","KHDRBS3",0.259,0.171787624494307
"NPAS3",0,0.658044399799652,1,0.988,0,"SPN_patch","NPAS3",0.012,0.00789653279759583
"MAML3",0,0.652662821663053,0.972,0.878,0,"SPN_patch","MAML3",0.094,0.061350305236327
"RGS12",0,0.618252614598113,0.967,0.926,0,"SPN_patch","RGS12",0.0409999999999999,0.0253483571985226
"PDE10A",0,0.618038645518643,1,0.994,0,"SPN_patch","PDE10A",0.00600000000000001,0.00370823187311186
"PDE9A",0,0.598995220477626,0.955,0.722,0,"SPN_patch","PDE9A",0.233,0.139565886371287
"CACHD1",0,0.598355762957772,0.999,0.947,0,"SPN_patch","CACHD1",0.052,0.0311144996738042
"RBM20",0,0.559426408265738,0.991,0.878,0,"SPN_patch","RBM20",0.113,0.0632151841340284
"PTPRD",0,0.544786172942682,1,0.981,0,"SPN_patch","PTPRD",0.019,0.010350937285911
"FKBP5",0,0.536011733538181,0.763,0.362,0,"SPN_patch","FKBP5",0.401,0.214940705148811
"NETO1",0,0.535047357286076,1,0.975,0,"SPN_patch","NETO1",0.025,0.0133761839321519
"TBL1X",0,0.531906413809783,0.986,0.846,0,"SPN_patch","TBL1X",0.14,0.0744668979333696
"BRINP3",0,0.531094442744731,0.894,0.515,0,"SPN_patch","BRINP3",0.379,0.201284793800253
"TENM3",0,0.523934294366564,1,0.969,0,"SPN_patch","TENM3",0.031,0.0162419631253635
"NECAB1",0,0.502269974549819,1,0.989,0,"SPN_patch","NECAB1",0.011,0.00552496972004802
"CDH10",0,0.47622050402851,0.819,0.448,0,"SPN_patch","CDH10",0.371,0.176677806994577
"NPAS2",0,0.4689005144437,1,0.992,0,"SPN_patch","NPAS2",0.00800000000000001,0.0037512041155496
"RARB",0,0.46470594469676,1,0.949,0,"SPN_patch","RARB",0.051,0.0237000031795348
"CNTN4",0,0.442248726514003,1,0.984,0,"SPN_patch","CNTN4",0.016,0.00707597962422406
"MCTP2",0,0.435850009288946,0.715,0.405,0,"SPN_patch","MCTP2",0.31,0.135113502879573
"GAS7",0,0.427886651087607,1,0.987,0,"SPN_patch","GAS7",0.013,0.0055625264641389
"SLC8A1",0,0.419784419069352,1,0.999,0,"SPN_patch","SLC8A1",0.001,0.000419784419069352
"TESC",0,0.414539870141763,0.995,0.898,0,"SPN_patch","TESC",0.097,0.040210367403751
"FAM171A1",0,0.404784119684911,1,0.984,0,"SPN_patch","FAM171A1",0.016,0.00647654591495858
"FAT1",0,0.377357887292327,0.71,0.366,0,"SPN_patch","FAT1",0.344,0.12981111322856
"GALNTL6",0,0.375023216246817,0.997,0.902,0,"SPN_patch","GALNTL6",0.095,0.0356272055434477
"KL",0,0.316104335965791,0.555,0.152,0,"SPN_patch","KL",0.403,0.127390047394214
"KIAA2012",0,0.301384747314507,0.613,0.261,0,"SPN_patch","KIAA2012",0.352,0.106087431054706
"FHOD3",0,0.29491694647193,0.659,0.3,0,"SPN_patch","FHOD3",0.359,0.105875183783423
"GRIA1",0,0.290399699832574,1,0.996,0,"SPN_patch","GRIA1",0.004,0.0011615987993303
"PDYN",0,0.258487581837479,0.415,0.148,0,"SPN_patch","PDYN",0.267,0.0690161843506069
"ATRNL1",6.29733541035605e-307,0.412992955930075,1,0.982,2.04480778109671e-302,"SPN_patch","ATRNL1",0.018,0.00743387320674136
